date,tweet_body
2022-12-12 14:26:19+00:00,"b'RT @ben_rosen: musk: we must stop the woke mind virus, i hate unions and trans people, we need a republican congress, i will vote for ron d\xe2\x80\xa6'"
2022-12-12 14:26:12+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:26:06+00:00,"b'RT @JHFonseca: # CASOS DE MIOCARDITE NA FL\xc3\x93RIDA AUMENTAM EM 86% ENTRE JOVENS DE 18 E 39 ANOS, AP\xc3\x93S A VACINA\xc3\x87\xc3\x83O COM mRNA (PFIZER E MODERNA).\xe2\x80\xa6'"
2022-12-12 14:26:02+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:25:59+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
2022-12-12 14:25:57+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:25:53+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:25:49+00:00,"b""RT @kylegriffin1: A Miami judge has tossed out *another voter fraud case brought by Ron DeSantis' elections police \xe2\x80\x94 the third case to fall\xe2\x80\xa6"""
2022-12-12 14:25:47+00:00,"b""RT @atrupar: MUSK: libs have the woke mind virus\nNYT ...\nMUSK: I'm literally urging you to vote Republican\nNYT ...\nMUSK: *high-fives every\xe2\x80\xa6"""
2022-12-12 14:25:43+00:00,"b'RT @kylegriffin1: The man who shared disinformation about Paul Pelosi, allowed hate speech to flourish on his platform, endorsed Ron DeSant\xe2\x80\xa6'"
