date,tweet_body
2022-12-12 01:46:12+00:00,b'RT @RBReich: Reminder: any lawmakers who engaged in insurrection on January 6th must be held accountable and barred from holding public off\xe2\x80\xa6'
2022-12-12 01:46:09+00:00,b'RT @NickAdamsinUSA: People forget that Donald Trump never took a salary while serving as our Commander in Chief.'
2022-12-12 01:46:09+00:00,"b'@miguelcgangel Clon de Donald Trump si quieren, pero espero que lo'"
2022-12-12 01:46:07+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:46:05+00:00,b'@OccupyDemocrats Violent criminal Donald Trump incited violence against U.S. Law Enforcement and U.S. Lawmakers on\xe2\x80\xa6 https://t.co/E15gvzV5Rx'
2022-12-12 01:46:04+00:00,b'https://t.co/sGhk46nqrW'
2022-12-12 01:46:04+00:00,"b'Donald Trump\xe2\x80\x99s niece calls him \xe2\x80\x98a black hole of need\xe2\x80\x99, says Republicans see him as \xe2\x80\x98election\xc2\xa0poison\xe2\x80\x99 https://t.co/Q62aJ4bcFk'"
2022-12-12 01:46:02+00:00,"b'GOD Bless  T H E  PRESIDENT OF THE US, DONALD J TRUMP https://t.co/uLCW4azxZJ'"
2022-12-12 01:46:02+00:00,b'RT @coleyshannon66: @jim_enloe @ShellenbergerMD The insurrection without weapons? The insurrection where the President said \xe2\x80\x9cpeacefully and\xe2\x80\xa6'
2022-12-12 01:45:59+00:00,"b""RT @tribelaw: \xe2\x80\x9cMitt Romney is the first Republican senator to say he won't support Donald Trump in 2024, even if the former president is th\xe2\x80\xa6"""
2022-12-12 01:45:59+00:00,"b""@BenjaminACarter @Chicago1Ray @BenjaminACarter and u have your freedom to be pfizer's lab rat and take your booster\xe2\x80\xa6 https://t.co/zN2pTlnVNf"""
2022-12-12 01:45:59+00:00,"b'RT @ShellenbergerMD: 1. TWITTER FILES, PART 4\n\nThe Removal of Donald Trump: January 7\n\nAs the pressure builds, Twitter executives build the\xe2\x80\xa6'"
2022-12-12 01:45:59+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:58+00:00,b'RT @NEWSMAX: John Bolton threatens presidential run challenge to Trump: https://t.co/JEcsIvFWTo https://t.co/J5ugsHV5md'
2022-12-12 01:45:57+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:56+00:00,b'Anthony Fauci has faithfully served the American people under seven presidents of both parties. He is everything Do\xe2\x80\xa6 https://t.co/RKDhRLMqaF'
2022-12-12 01:45:56+00:00,"b'RT @itsJeffTiedrich: holy fucking shit, ""Donald Trump got banned from twitter after trying to overthrow his own government"" is not the expl\xe2\x80\xa6'"
2022-12-12 01:45:52+00:00,b'@CariKelemen Donald Trump was endangering the life of the police officer who shot Ashli Babbitt and saved Congress from the raging mob.'
2022-12-12 01:45:50+00:00,"b'RT @stuartpstevens: To all the Tesla owners out there, do you really want to support a man who has Steve Bannon\xe2\x80\x99s politics with Donald Trum\xe2\x80\xa6'"
2022-12-12 01:45:49+00:00,b'RT @mtaibbi: 1.     THREAD: The Twitter Files\nTHE REMOVAL OF DONALD TRUMP\nPart One: October 2020-January 6th'
2022-12-12 01:45:47+00:00,b'RT @ericareport: BREAKING! Former United States Attorney Barbara McQuade says that there is enough evidence to charge Donald Trump with MAN\xe2\x80\xa6'
2022-12-12 01:45:47+00:00,"b'RT @ShellenbergerMD: 1. TWITTER FILES, PART 4\n\nThe Removal of Donald Trump: January 7\n\nAs the pressure builds, Twitter executives build the\xe2\x80\xa6'"
2022-12-12 01:45:45+00:00,"b""@RandPaul WRONG!!\nDONALD TRUMP'S LACK OF COVID POLICY DESTROYED LIVES!!"""
2022-12-12 01:45:45+00:00,b'@OccupyDemocrats The DOJ will indict Donald Trump and his Republican Lawmaker co-conspirators (including Scott Perr\xe2\x80\xa6 https://t.co/LYkwo9v0FV'
2022-12-12 01:45:44+00:00,"b'RT @KevinSixx13: @ksorbs \xe2\x80\x9cI don\xe2\x80\x99t take responsibility at all.\xe2\x80\x9d  -Donald Trump, 3/13/20'"
2022-12-12 01:45:44+00:00,b'It would appear that Donald J Trump may have received a target letter today. \xf0\x9f\x98\x85 https://t.co/r7X2gwWMey'
2022-12-12 01:45:44+00:00,b'RT @Ramnier: \xc2\xa1ACAB\xc3\x93 LA ESPERA! Elon Musk public\xc3\xb3 m\xc3\xa1s pruebas sobre los #TwitterFiles y revela el sistema de censura que la compa\xc3\xb1\xc3\xada aplic\xc3\xb3\xe2\x80\xa6'
2022-12-12 01:45:37+00:00,"b'RT @peaceandteachin: Donald Trump still owes El Paso $570,000, New Mexico $211,000, Minnesota $500,000 and DC $9,000,000. Why can\xe2\x80\x99t Trump p\xe2\x80\xa6'"
2022-12-12 01:45:36+00:00,"b'RT @WSJ: From @WSJopinion: Only the voters can crush Donald Trump, writes @Peggynoonannyc. Party professionals and elders have a role to pl\xe2\x80\xa6'"
